Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Australia,Renewbale hydrogen 10MW electrolyser at ATCO&#8217;s Clean Energy Innovation Park,hydrogen,05/05/2021,05/05/2021,19752237
Australia,Katherine-Darwin Interconnected System battery project and microgrids,multiple energy types,11/05/2021,11/05/2021,20646938
Australia,Far North Queensland Daintree renewable energy microgrid,multiple renewable,11/05/2021,11/05/2021,13282864
Australia,Funding support for Portland Aluminium Smelter participation in the Reliability and Emergency Reserve Trader mechanism,other energy type,19/03/2021,19/03/2021,52924983
Australia,Australian Government announcement that May Budget will include $275.5 million to develop four &#8216;clean hydrogen hubs&#8217; in regional areas and implement a clean hydrogen certification scheme,hydrogen,20/04/2021,20/04/2021,189607709
Australia,"Australian Government announcement that May Budget will include $263.7 million to develop carbon capture, use and storage projects and &#8216;hubs&#8217;",multiple fossil,20/04/2021,20/04/2021,181486580
Australia,Australian Gas Infrastructure Group (AGIG)  renewable hydrogen blending project,hydrogen,05/05/2021,05/05/2021,22092223
Australia,Renewable hydrogen 10MW electrolyser at Yara Pilbara Fertiliser&#8217;s existing ammonia facility,hydrogen,05/05/2021,05/05/2021,29249828
Australia,"Australian Government announcement that May Budget will include $263.7 million to develop carbon capture, use and storage projects and &#8216;hubs&#8217;",multiple fossil,20/04/2021,20/04/2021,181486580
Australia,Australian Government announcement that May Budget will include $275.5 million to develop four &#8216;clean hydrogen hubs&#8217; in regional areas and implement a clean hydrogen certification scheme,hydrogen,20/04/2021,20/04/2021,189607709
Australia,"Australian Government $660 million energy deal with South Australia for hydrogen, CCS &#038; interconnection",multiple energy types,18/04/2021,18/04/2021,454232623
Australia,ARENA funding for Yara Pilbara and ENGIE renewable hydrogen to ammonia feasibility study,hydrogen,21/02/2021,21/02/2021,684791
Australia,CEFC financing commitment of $160 million for 300 MW Neoen battery,multiple energy types,25/02/2021,25/02/2021,110117000
Australia,Victorian Government $10 million funding for a hydrogen and clean energy vehicle technology research hub,multiple energy types,07/02/2021,07/02/2021,6882313
Australia,$1.85 million NERA investment for 13 regional hydrogen clusters,hydrogen,01/02/2021,01/02/2021,1273228
Australia,Fast tracking Northern Territory Gas Industry Roads Upgrades program,oil and gas,14/01/2021,14/01/2021,149346181
Australia,$200 million grants fund for additional diesel storage,oil and oil products,12/01/2021,12/01/2021,137646250
Australia,"Federal subsidy program to deliver financial support for Viva Energy oil refinery in Geelong, Victoria",oil and oil products,14/12/2020,14/12/2020,20646938
Australia,Federal subsidy of $76.8 million for Victorian Alcoa aluminium smelter to act as an energy reserve during peak demand,other energy type,14/12/2020,14/12/2020,52856160
Australia,ARENA funding $6 million for vanadium flow battery in South Australia,multiple energy types,14/12/2020,14/12/2020,4129388
Australia,"$250 million in Karara Wind Farm, Darling Downs",wind,01/12/2020,01/12/2020,172057812
Australia,$145 million for three Renewable Energy Corridors,multiple renewable,01/12/2020,01/12/2020,99793531
Australia,$540 million to develop six renewable energy zones,multiple renewable,24/11/2020,24/11/2020,371644873
Australia,$797 million investment for home energy efficiency and power bill assistance,energy efficiency,17/11/2020,17/11/2020,548520303
Australia,$18 million supplement to South Australian Home Battery Scheme (in addition to existing $100 million),multiple energy types,10/11/2020,10/11/2020,12388163
Australia,$60 million two-year investment to improve energy efficiency in government buildings,energy efficiency,10/11/2020,10/11/2020,41293875
Australia,$18 million Electric Vehicle Action Plan,multiple energy types,06/11/2020,06/11/2020,12388163
Australia,Waiving electricity bills for small to medium businesses,multiple energy types,01/04/2020,01/04/2020,18582244
Australia,Renewable energy training facility,multiple renewable,16/06/2020,16/06/2020,11699932
Australia,$100 million electricity bill relief for small and medium businesses,multiple energy types,27/03/2020,01/05/2020,68823125
Australia,Deferral of rent collection and annual fees for quarries and exploration companies,multiple fossil,22/05/2020,01/07/2020,2408810
Australia,CEFC investment in Electric Vehicle charging infrastructure,multiple energy types,16/06/2020,16/06/2020,2408810
Australia,Advancing Hydrogen Fund,hydrogen,04/05/2020,04/05/2020,206469374
Australia,ARENA funding to fast track renewables for hydrogen,hydrogen,15/04/2020,15/04/2020,48176188
