Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Brazil,Exempts consumers in the Municipalities of the State of Amapá covered by the state of public calamity from the payment of electric energy bills,other energy type,26/04/2021,26/04/2021,15518914
Brazil,"Two loans for the construction of the wind farms located in the municipalities of Caiçara do Rio do Vento and Ruy Barbosa, in the state of Rio Grande do Norte.",wind,02/03/2021,02/03/2021,80892338
Brazil,"BNDES approves financing for expansion of the Jerusalem Wind Complex, in Rio Grande do Norte",wind,26/11/2020,26/11/2020,110184288
Brazil,BNDES invests in improving electricity services for 14 million people,multiple energy types,02/09/2020,02/09/2020,657613968
Brazil,BNDES approves financing for national manufacturer of blades for wind generators,wind,01/09/2020,01/09/2020,7274491
Brazil,Emergency Support Measures for Civilian Aviation,oil and oil products,06/08/2020,06/08/2020,581959263
Brazil,30 million BRL committed for the Brazilian National Development Bank (BNDES) Energy Efficiency Fund,energy efficiency,23/07/2020,23/07/2020,5819593
Brazil,"Financing for the implementation of a wind farm in the municipalities of Jandaíra, Lajes and Pedro Avelino in Rio Grande do Norte",wind,29/01/2020,30/01/2020,193986421
Brazil,Financing for the implementation of a small hydroelectric plant in the municipalities of Pontes e Lacerda and Vale de São Domingos in Mato Grosso,hydro,09/01/2020,10/01/2020,18428710
Brazil,Financing to support an investment plan in the electricity sector in Alagoas and Piauí,multiple energy types,30/04/2020,01/05/2020,219204656
Brazil,"Financing for the implementation of twelve wind farms and associated transmission system in the municipalities of Santa Luzia, São José do Sabugi, São Mamede and Areia de Baraúnas in Paraíba",wind,02/01/2020,03/01/2020,252182348
Brazil,Financing for the implementation of a wind farm in the municipalities of Umburanas and Sento Sé in Bahia,wind,20/05/2020,21/05/2020,232783706
Brazil,"Long-term financing for the implementation of a wind farm in Caiçara do Rio do Vento and Riachuelo, in Rio Grande do Norte",wind,30/06/2020,01/07/2020,40349176
Brazil,Emergency financing for the electricity sector in the context of the new coronavirus pandemic,multiple energy types,02/07/2020,03/07/2020,954413192
Brazil,Transfer of funds to distributors of electricity,multiple energy types,07/04/2020,07/04/2020,40155190
Brazil,Launched a credit line to support biofuel producers due to COVID-19 market losses,biofuels and waste,16/06/2020,17/06/2020,290979632
Brazil,Provides beneficiaries from the &#8220;Social Tariff Program&#8221; with another discount for energy consumption due to COVID-19,multiple energy types,08/04/2020,30/06/2020,174587779
