Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Canada,Investment in DehkՏ Frank Channel Bridge replacement,oil and gas,20/10/2021,20/10/2021,9321402
Canada,Additional funding &#8211; Electric Arc Furnace Steelmaking Investment into Algoma Steel,multiple renewable,05/08/2021,05/07/2021,313199106
Canada,Investment in community-led Indigenous clean energy projects in British Columbia,multiple renewable,16/04/2021,16/04/2021,6263983
Canada,One-time rebates to all registered vehicle owners,multiple fossil,26/02/2021,26/02/2021,197613722
Canada,Infrastructure Canada project funding for public transit since January 2020,multiple energy types,01/01/2020,01/01/2020,3942765310
Canada,Infrastructure Canada project funding for active transportation since January 2020,active transport,01/01/2020,01/01/2020,63629848
Canada,Infrastructure Canada project funding for renewable green energy projects since January 2020,multiple renewable,01/01/2020,01/01/2020,125280078
Canada,Infrastructure Canada project funding for highways and roads since January 2020,multiple energy types,01/01/2020,01/01/2020,138088549
Canada,Smart Grid technology investment in London Hydro,multiple energy types,23/07/2020,23/07/2020,3803132
Canada,Investment in clean technologies under Canada Economic Development for Quebec Regions,multiple energy types,23/07/2020,23/07/2020,5479782
Canada,Support for transit for municipalities impacted by COVID-19 (part of the Safe Restart Agreement),multiple energy types,16/07/2020,16/07/2020,1342281880
Canada,Deferring and postponing pipeline and orphan well liability levies for oil and gas companies,oil and gas,16/04/2020,16/04/2020,8202834
Canada,Second phase of Community Efficiency Financing initiative,energy efficiency,30/06/2020,30/06/2020,223713647
Canada,"Cost relief for electricity for residential, farm and small business consumers",multiple energy types,24/03/2020,25/03/2020,12677107
Canada,Funding for airlines in Northwest Territories,oil and oil products,08/05/2020,08/05/2020,10903058
Canada,Regulatory relief for Saskatchewan oil and gas producers,oil and gas,14/04/2020,14/04/2020,19388517
Canada,Waiving of rent for ground leases for 21 airport authorities,oil and oil products,30/03/2020,30/03/2020,247129009
Canada,Funding the Alberta Energy Regulator for 6 months by covering industry levies,oil and gas,20/03/2020,20/03/2020,84265474
Canada,Temporary 90% reduction of the operating budget of Canadian Energy Centre,oil and gas,30/03/2020,30/03/2020,-4996271
