Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Germany,Germany launches funding call for alternatively powered trains,multiple energy types,18/06/2021,18/06/2021,84474886
Germany,Germany supports publicly accessible charging infrastructure for electric vehicles,multiple energy types,28/06/2021,17/08/2021,570776256
Germany,Launch of the Northern Germany Regulatory Sandbox to accelerate the process of translating research innovations into practical applications,hydrogen,14/04/2021,14/04/2021,59360731
Germany,EUR 920 million for 15 German airports,non-applicable (non-energy measure),12/02/2021,12/02/2021,1050228311
Germany,TUI Rescue Swells to $5.8 Billion With Third Government Deal,non-applicable (non-energy measure),02/12/2020,02/12/2020,1484018265
Germany,Germany pledges EUR 700 million to help South Africa ditch coal,coal,02/11/2021,02/11/2021,799086758
Germany,Germany funds two projects researching alternatives to fossil fuel use in the glass industry with EUR 4.5 million,other energy type,24/11/2021,24/11/2021,5136987
Germany,Extension of subsidies for wallboxes for electric vehicles,multiple energy types,21/07/2021,21/07/2021,342465754
Germany,Germany launches tender to quickly expand countrywide e-car charging network,multiple energy types,17/08/2021,17/08/2021,2283105023
Germany,Germany invests 8 billion euros in 62 EU-backed hydrogen projects,hydrogen,28/05/2021,28/05/2021,9132420092
Germany,Commission approves prolongation and modification of German scheme to support electricity production from renewable energy sources,multiple energy types,29/04/2021,29/04/2021,37671232877
Germany,1 billion EUR to fund to finance innovation and transformation in Germany&#8217;s auto sector (part of a 3 billion euros renewed pledge by the German Government to support the crisis-hit automotive sector),other energy type,17/11/2020,17/11/2020,1141552512
Germany,1 billion EUR for truck scrappage scheme (part of a 3 billion euros renewed pledge by the German Government to support the crisis-hit automotive sector),multiple energy types,17/11/2020,17/11/2020,1141552512
Germany,1 billion EUR for electric vehicles (part of a 3 billion euros renewed pledge by the German Government to support the crisis-hit automotive sector),multiple energy types,17/11/2020,17/11/2020,1141552512
Germany,EV infrastracture and E-mobility and battery R&#038;D support,multiple energy types,03/06/2020,03/06/2020,2853881279
Germany,Support for auto industry transformation (economic stimulus package),oil and oil products,03/06/2020,03/06/2020,2283105023
Germany,"Fleet exchange programme for social services, to promote &#8220;electromobility&#8221; in cities and support non-profit groups.",multiple energy types,03/06/2020,03/06/2020,228310503
Germany,"Equity injection into Deutsche Bahn to enable continued investment in railway modernisation, expansion, and electrification",multiple energy types,03/06/2020,03/06/2020,5707762558
Germany,Bus and truck fleet modernization,multiple energy types,03/06/2020,03/06/2020,1369863014
Germany,Support for accelerated conversion to more efficient types of aircraft,oil and oil products,03/06/2020,03/06/2020,1141552512
Germany,"Modernisation fund for shipping, including traffic innovation and support for renewing government vessels.",oil and gas,03/06/2020,03/06/2020,1141552512
Germany,Bailout of Condor,oil and oil products,27/04/2020,27/04/2020,627853882
Germany,Bailout of TUI AG (including TUI Fly and cruiseships),oil and oil products,08/04/2020,08/04/2020,5479452055
Germany,Support for public transport within municipal budgets (economic stimulus package),multiple energy types,03/06/2020,03/06/2020,2853881279
Germany,Modernization of buildings for energy efficiency (economic stimulus package),energy efficiency,03/06/2020,03/06/2020,2283105023
Germany,Hydrogen foreign trade partnerships,hydrogen,03/06/2020,03/06/2020,2283105023
Germany,National Hydrogen Strategy (part of the economic stimulus package),hydrogen,03/06/2020,03/06/2020,10273972603
