Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
United Kingdom,Social Housing Decarbonisation Fund (Wave 1),energy efficiency,16/06/2021,23/08/2021,205128206
United Kingdom,London Mayor announces £51m funding package to improve energy efficiency in homes,energy efficiency,03/12/2021,01/03/2022,65384616
United Kingdom,Green Heat Network Fund (GHNF) approved to support low-carbon technologies,multiple renewable,07/09/2021,01/04/2022,346153847
United Kingdom,Capability fund (allocation to local transport authority for walking and cycling infrastructure),active transport,30/07/2021,30/07/2021,433333334
United Kingdom,£450m fund to unlock cutting-edge innovation across gas and electricity networks,multiple energy types,31/08/2021,31/08/2021,576923077
United Kingdom,£200 million funding for R&#038;D to green the aerospace sector,oil and oil products,20/07/2020,20/07/2020,256410257
United Kingdom,£3bn scheme to improve buildings&#8217; efficiency as part of the  Plan for Jobs,energy efficiency,07/07/2020,01/09/2020,3846153847
United Kingdom,Emergency £1.6bn bailout for Transport for London,multiple energy types,14/05/2020,14/05/2020,2051282052
United Kingdom,Scottish Government £62 million Energy Transition Fund,multiple fossil,12/06/2020,12/06/2020,79487180
United Kingdom,Ofgem&#8217;s scheme of 350 million pounds available to support energy suppliers that do not have an investment grade credit rating,multiple energy types,02/06/2020,02/06/2020,448717949
United Kingdom,Launch of the Clean Growth Fund,multiple renewable,21/05/2020,21/05/2020,25641026
United Kingdom,Support to Iberdrola International B.V. through Covid Corporate Financing Facility (CCFF),wind,23/03/2020,23/03/2020,128205129
United Kingdom,Support to National Express Group PLC through Covid Corporate Financing Facility (CCFF),multiple energy types,23/03/2020,23/03/2020,384615385
United Kingdom,Support for Honda Finance Europe PLC through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,141025642
United Kingdom,"Support for Nissan Motor Co., Ltd through Covid Corporate Financing Facility (CCFF)",multiple energy types,23/03/2020,23/03/2020,769230770
United Kingdom,Support for RCL Cruises Ltd. through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,384615381
United Kingdom,Support for Baker Hughes through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,769230770
United Kingdom,Support for Schlumberger through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,532051283
United Kingdom,Support for EasyJet through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,769230770
United Kingdom,Support for Ryanair through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,769230770
United Kingdom,Support for British Airways through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,384615385
United Kingdom,Support for Wizz Air through Covid Corporate Financing Facility (CCFF),oil and oil products,23/03/2020,23/03/2020,384615385
