Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
United States,"Main Street Lending Program, Fossil fuel beneficiaries",multiple fossil,09/04/2020,06/07/2020,2220000000
United States,"Main Street Lending Program, Renewable Energy Beneficiaries",multiple renewable,09/04/2020,06/07/2020,170000000
United States,"CARES Act, support for airports",oil and oil products,27/03/2020,27/03/2020,10000000000
United States,"CARES Act, support for Amtrak rail services",multiple energy types,27/03/2020,27/03/2020,1021000000
United States,"CARES Act, support for airlines",oil and oil products,27/03/2020,27/03/2020,49000000000
United States,"CARES Act, support for transit systems",multiple energy types,27/03/2020,27/03/2020,25000000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,2500000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,6000000000
United States,California Energy Commission awards 10 million USD to advance geothermal projects and lithium battery production,multiple renewable,13/05/2020,13/05/2020,10000000
United States,Pennsylvania authorized tax credit for natural gas manufacturing (petrochemical) facilities,gas and gas products,27/07/2020,23/07/2020,26666668
United States,Infrastructure Investment and Jobs Act,hydrogen,15/11/2021,15/11/2021,8000000000
United States,"Secondary Market Corporate Credit Facility, Oil &#038; Gas Bonds",multiple fossil,23/03/2020,23/03/2020,469900000
United States,Infrastructure Investment and Jobs Act,energy efficiency,15/11/2021,15/11/2021,20000000
United States,Empire Building Challenge to Combat Climate Change and Create Jobs,energy efficiency,22/09/2020,22/09/2020,50000000
United States,Expand Electric Vehicle Fast Charging Stations in New York,multiple renewable,12/11/2020,12/11/2020,11000000
United States,New York Climate Progress Program to Support Technologies that Lower Carbon Emissions,multiple energy types,13/11/2020,13/11/2020,10000000
United States,"Initiatives to Electrify Transit Buses, Boosting Access to Clean Transportation and Building Healthier Communities",other renewable,29/12/2020,29/12/2020,16000000
United States,Award Winning Projects in Second Round of Buildings of Excellence Competition,energy efficiency,11/03/2021,11/03/2021,13000000
United States,Develop and Support Integrated Energy Data Resource,energy efficiency,24/03/2021,24/03/2021,5400000
United States,Awards for Innovative Low Carbon and Clean Energy Solutions to Help Combat Climate Change,energy efficiency,08/04/2021,08/04/2021,6000000
United States,Consumer Education and Awareness Campaign to Accelerate Adoption of Clean Heating and Cooling Solutions that Combat Climate Change,energy efficiency,12/04/2021,12/04/2021,10000000
United States,Assist Religious Congregations in Creating and Implementing a Decarbonization Plan for Their Buildings,energy efficiency,22/04/2021,22/04/2021,4000000
United States,"Energy Management Program to Increase Energy Efficiency in Commercial Office Space, Reduce Greenhouse Gas Emissions, and Create Healthy Workplaces",energy efficiency,22/04/2021,22/04/2021,25000000
United States,Future Grid Challenge Advances Technologies that Help Utilities Overcome Energy Transmission and Distribution System Challenges,other energy type,05/05/2021,05/05/2021,3000000
United States,$15 Million Available for Third Annual Commercial and Industrial Carbon Challenge,energy efficiency,18/05/2021,18/05/2021,15000000
United States,$15 Million Available for Carbon Neutral Community Economic Development Program,energy efficiency,19/05/2021,19/05/2021,15000000
United States,$5.4 Million Available to Develop and Support Integrated Energy Data Resource,other energy type,24/05/2021,24/05/2021,5400000
United States,Energy Management Technology that Enables Buildings to Provide Grid Flexibility,other energy type,09/07/2021,09/07/2021,3000000
